Strike ID,Date,Location,Province,Type of attack,"Confirmed/
possible US attack?",Air operation?,Drone strike,Minimum number of strikes,Maximum number of strikes,Minimum people killed,Maximum people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum people injured,Maximum people injured,Strike link,,Index
YEM001,03/11/2002,Unknown,Marib,Drone strike,Confirmed,1,1,1,1,6,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM001,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#,1
YEM002,17/12/2009,Al Majala,Abyan,Cruise missile strike,Confirmed,0,0,1,1,55,58,44,44,21,22,9,9,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM002,,2
YEM003,17/12/2009,Arhab,Sanaa,"US-Yemen ground operation
Possible drone strike",Confirmed,0,0,1,1,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM003,,3
YEM004,24/12/2009,Rafd,Shabwa,"Airstrike
Possible cruise missile strike",Confirmed,1,0,1,1,30,34,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM004,,4
YEM005,12/01/2010,Unknown,Shabwa,"Yemen ground operation
Possible US assistance",Possible,0,0,1,1,1,2,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM005,,5
YEM006,15/01/2010,Al Ajashir,Saada,Airstrike,Possible,1,0,1,1,0,6,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM006,,6
YEM007,20/01/2010,Erq al Shawan,Marib,Airstrike,Possible,1,0,4,4,2,2,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM007,,7
YEM008,31/01/2010,N/A,Across Yemen,US ground operations,Possible,0,0,24,24,0,0,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM008,,8
YEM009,14/03/2010,"Jeezat al Qotn
Moudia district",Abyan,Airstrike,Confirmed,1,0,1,1,2,3,0,0,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM009,,9
YEM010,15/03/2010,Moudia,Abyan,Airstrike,Possible,1,0,1,1,7,20,0,20,0,0,0,0,www.thebureauinvestigates.com/2012/03/29/yemen-reported-us-covert-actions-since-2001/#YEM010,,10
